,Tweet,toxic,severe_toxic,obscene,threat,insult,identity_hate
0,"Damn my twitter feed weird
It goes from VR game dev cooking dinner, to femboy cumming hands free, to League of Legends news
What a time to be alive",0,0,0,0,0,0
1,just willingly watched him play league of legends i am down BAD !!,0,0,0,0,0,0
2,@TakashiZeroTV have you heard of this game called League of Legends,0,0,0,0,0,0
3,does anyone here play league of legends?,0,0,0,0,0,0
4,I secretly play League of Legends when Matthew turns me off.,0,0,0,0,0,0
5,"@ESPN_Esports is there any chance that the League of Legends Fantasy Leagues will continue for regular Spring/Summer Splits going forward, or was this just a Worlds thing? #espn",0,0,0,0,0,0
6,"@JakeSucky ""Jung ""Impact"" Eon-yeong, the highest-paid player in the League of Legends Championship Series in 2020. Impact's contract with Liquid will expire on Nov. 16. In late 2017, Impact signed a three-year deal with Liquid that saw him entitled to $3.4 million over the deal's lifespan""",0,0,0,0,0,0
7,"No stream tonight. I’m going to finish watching Barbarians. 

This week I will be trying something new...

League of Legends!",0,0,0,0,0,0
8,guys league of legends anyone want to play,0,0,0,0,0,0
9,"RT @GlenwoodEsports: Another exciting week of @IHSEA_org esports action is in the books! Lets recap:
- Varsity and JV OW take strong wins o…",0,0,0,0,0,0
10,.@Zedd should play #Zed for the Verizon League of Legends: Wild Rift 5G Invitational! Disagree? Vote for your pick and you could also be in the running to win the new #iPhone12 Pro with 5G thanks to @Verizon! #5GJustGotReal #VerizonWRsweeps,0,0,0,0,0,0
11,"I like League of legends because I had a guy say I don't care about the role I got I'm playing what I want, then he went 1/9",1,0,0,0,0,0
12,"Tonight we made history as our League of Legends team finishes as the @playvs CLoL Fall Invitational North Region Champions with a 2-1 comeback win over @BoilermakersLoL !

With that we qualify for the National Invitational starting on Tuesday!",0,0,0,0,0,0
13,@zamboni_goblin It’s basically league of legends with Blizzard characters from WoW and Diablo and Starcraft,0,0,0,0,0,0
14,"@RiasSerenity none.

I have infinite stamina when it comes to these kinda things, maybe its a problem, maybe it isnt.

I understand that I am a rare breed, but after playing nothing but League of Legends for 6 years, I can do anything.",0,0,0,0,0,0
15,"I am 99% certain I will be streaming League of Legends for the FIRST time EVER. I am aware that is rare amongst the gaming community, and that I am one of the last people on the face of the earth to have not played League. To enjoy my first reaction have notifications on ;) #LOL",0,0,0,0,0,0
16,@HermesCostellOW league of legends ?,0,0,0,0,0,0
17,@RiotSupport hi is there any update when riot will make a new and usable client for league of legends? Thanks,0,0,0,0,0,0
18,"ratatouille 2

following the closure of the second restaurant and ego’s death, remy decides to use linguini’s body to take advantage of another one of his talents - league of legends",0,0,0,0,0,0
20,"@YTLegendOfSonic @bench0de @IGNWorseThan How is a spinning blade copying animations. Guess League of Legends copied spinning blade, barbarians, pirates, ghosts, Dante, anime...",0,0,0,0,0,0
21,"Another exciting week of @IHSEA_org esports action is in the books! Lets recap:
- Varsity and JV OW take strong wins on Wednesday
- Varsity RL wins another 3-0 while JV falls 0-3
- League of Legends wins a scrim session 2-0 vs Lake Park

On to next week!",0,0,0,0,0,0
22,@RiotPhreak As the owner of League of legends I demand you fix this,0,0,0,0,0,0
23,Taking a break from Overwatch btw. Gonna start playing Valorant and League of Legends,0,0,0,0,0,0
24,time for another epic and wholesome game of league of legends,0,0,0,0,0,0
25,a podcast where a first-worldist dick n balls go on a long rant about league of legends,1,0,1,0,0,0
26,"RT @LITCollective0x: For the first gaming competition that will be held on our server, we have a close vote on which game will be played. I…",0,0,0,0,0,0
27,"@ecthoribe For me as someone who used to play league of legends it's not a lot of buttons 👀, but I understand your struggle. But don't worry they are gonna add some control changes in version 1.1 [11. Nov I think]",0,0,0,0,0,0
28,Best character in league of legends???,0,0,0,0,0,0
31,"@RisenEsportsNA Just doing the right thing @RisenEsportsNA.

However, I better not catch you doing the same thing for your League of Legends team competing in @UpsurgeGG.",0,0,0,0,0,0
32,@DhanVermillion @KDA_MUSIC oh i see so the premiere will be at the League of Legends oficial youtube?,0,0,0,0,0,0
33,RT @NorthwoodEsport: Northwood League of Legends finishes (5-3) on the weekend and takes 3rd place in the @DruryEsports invitational! 🐺#wol…,0,0,0,0,0,0
34,@obrunoprimeiro @GalanticsGirl League of legends,0,0,0,0,0,0
35,"@triggerwasright @bench0de @IGNWorseThan &gt;BOTW invented gliding? With different gliding tools?
&gt;League of Legends has like 5 characters with sword that spin in a much similar manner. And that was in 2009.
&gt;Guess BOTW copied The Witcher 3 and Read Dead Redemption!
&gt;BOTW invented hitting stuff to get other stuff?",0,0,0,0,0,0
36,"more symptoms: League of legends, Being European or British",0,0,0,0,0,0
37,So can I get my soul back from league of legends or am I just doomed to suffer,1,0,0,0,0,0
38,I’m married to the game and the game is league of legends and I want a divorce,1,0,0,0,0,0
39,#AceWeek we when my team kills everyone on the enemy team in online free game league of legends:,0,0,0,0,0,0
40,@yuumi1trick okay and? i play league of legends with my index and thats it,0,0,0,0,0,0
42,"league of legends playing friends, female friends, black friends, crypto friends, gacha friends.. .i could have written this about all of you",0,0,0,0,0,0
43,I'm playing League of Legends. Fancy a game?,0,0,0,0,0,0
44,"Wow, I am so hyped to see a random team winning League of Legends World Championship and never qualify for it again. 👍",1,0,0,0,1,0
45,RT @KarasMaii: how do you know someone plays league of legends? whenever they're losing an argument they type XD,1,0,0,0,1,0
47,@Coach_Spilo A similar event happened throughout league of legends teams. They used to run 7 man rosters in SKT/C9/TSM but they never worked out and found more success building internal synergy and confidence.,0,0,0,0,0,0
49,Northwood League of Legends finishes (5-3) on the weekend and takes 3rd place in the @DruryEsports invitational! 🐺#wolfpack,0,0,0,0,0,0
50,"BTW. I'm going to keep streaming, because I genuinely like it. Expect them all to be super late though because that's legit the ONLY time I am able to stream.

I am only streaming League of Legends because that's all I care to play these days.

Hope you enjoyed my dose of reality",0,0,0,0,0,0
51,@chaosemeraIds I know which one you're talking about 😭 it's the collab song from league of legends with Madison beer? It's so bad,0,0,0,0,0,0
52,@NOmonster_ League of legends,0,0,0,0,0,0
53,everyone needs to know how handsome my boyfriend is. and that he’s playing league of legends,0,0,0,0,0,0
54,I picked a surprisingly terrible year to get us pumped about a LEAGUE OF LEGENDS CLONE?,0,0,0,0,0,0
55,i have assignments due... who wanna play league of legends?,0,0,0,0,0,0
56,@Toxicxtx 😞 okay I won’t play league of legends anymore,0,0,0,0,0,0
57,@emwtherims I hear it can run League of Legends 🤤,0,0,0,0,0,0
58,I am rebelling against my Asian cultural upbringing by playing League of Legends and listening to K-Pop,0,0,0,0,0,0
59,"Why do I have to be so competitive and hold myself to such an unfair standard when it comes to content?

Somehow I will find a way to shift this blame on League of Legends or something.",0,0,0,0,0,0
60,Everyday I play my silly little league of legends ranked games and cry.,0,0,0,0,0,0
61,that new League of legends champion..... why would they do Sona like this?,0,0,0,0,0,0
62,should I trust people that play league of legends if they,0,0,0,0,0,0
63,"RT @PeterXinping: If You Want To Get Girls You Should Just Be Yourself! 

Unless You’re 5’8, No Muscles, 3000 Hours League Of Legends, Twit…",1,0,0,0,0,0
64,@ChonkUwUwU @CronchyCrispy @LeagueOfLegends @sonimiku19 @checkurdms09 @jherr_ie @gopede_the_seal How the hell do you get 58 mentions from league of legends,0,0,0,0,0,0
65,RT @FionnOnFire: i'm so haappy for the vietnamse fans. they're so passionate and love league of legends so much. i'm glad that even in a ye…,0,0,0,0,0,0
66,Gonna TRY league of Legends on stream. Be live in 45 👊🏻,0,0,0,0,0,0
67,So I was told that I can’t get gold in league of legends. Hold my Mountain Dew cause it’s coming. Every other game is gonna have to wait. It’s on.,0,0,0,0,0,0
68,league of legends,0,0,0,0,0,0
69,@dj_danl  Do you ever play league of legends?,0,0,0,0,0,0
70,"i talk a lot of shit about league of legends, and rightfully so, but evelynn k/da is what cracked my egg so i feel like i owe whoever designed her my firstborn child",0,0,0,0,0,0
71,"Sometimes I miss the times when I was a teenager. Dicking around all day on Newgrounds, playing Metal Slug, League of Legends and Dragonfable all weekend.

Those were good years.",0,0,0,0,0,0
73,RT @DavidYu22131769: @StefanEtienne Don’t mind me. Just benchmarking League of Legends at 120 FPS!,0,0,0,0,0,0
74,@a_nmira League of legends &gt;,0,0,0,0,0,0
75,"@mashumaro_desu it is a event which is supported by china and chinese company, which supposed to be used for the S10 lpl of league of legends. It is cancelled because the action of coco, so of course it is relevant",0,0,0,0,0,0
76,"why do people say that fortnite is toxic, there literally isnt any proximity chat or ingame text chat or any of that, league of legends is 100x more toxic generally",1,0,0,0,0,0
77,A relationship should be 50/50 you play league of legends and I always  bug you to play teemo,0,0,0,0,0,0
78,"RT @zIMxnkey: Since the Split is coming to an end i will offer free league of Legends Team Coaching for the next few weeks. 
If you are int…",0,0,0,0,0,0
79,"who plays valorant or league of legends!!! let’s play together, i had to make a new acc tho :(",0,0,0,0,0,0
80,play league of legends or,0,0,0,0,0,0
81,im going to k*ll the league of legends whores,1,1,1,1,0,1
82,Pretty much every PL legends ever have said he is one of the best to ever play in this league but im supposed to listen to twitter account Paceyodoi una,0,0,0,0,0,0
83,@Ser0ven Onlineliga - Shop Titans - League of Legends,0,0,0,0,0,0
85,@LewisHamilton You joined the league of legends longtime ago. Now you lead the army of legends.,0,0,0,0,0,0
87,"Hunter biden doing crack and having underage sex is pretty bad, but at least he's not a league of legends player",1,0,1,0,0,0
88,RT @yournextgame: unfinished sports sim about dirty-minded league of legends stars #gameidea #gamedev,0,0,0,0,0,0
89,unfinished sports sim about dirty-minded league of legends stars #gameidea #gamedev,0,0,0,0,0,0
90,"expose yourself :

1.nop
2. No
3. No
4. Blue , pink
5. M
6. Hiii let's play league of legends
7. Both
8. Idk
9. Idk they don't even reply me-
10. No
11. Ye
12. No
13. 🤡

drop an emoji and i’ll send you the questions",0,0,0,0,0,0
91,"what gender, race, sexuality or age you are (although you must be at least** 14 years of age**, sorry)
 
Some of the games we play are:
Call of Duty 
Counter Strike 
Overwatch 
League of legends 
Apex Legends
Fortnite 
And a few smaller games!!
 We also have competitive teams, as",0,0,0,0,0,0
92,Somebody is trying to convince me to play league of legends please help,0,0,0,0,0,0
93,What the hell is a League of Legends?,0,0,0,0,0,0
95,@toastymtoastr Fastest back in league of legends,0,0,0,0,0,0
96,"@park_plant AIGHT
I watched a Hades stream this week and I was straight up gonna ask if it was League of Legends LOL",0,0,0,0,0,0
97,Playboi Carti saves troubled man from League of Legends addiction (REAL),0,0,0,0,0,0
98,"13-9 back against the wall, I win 3 straight to get another 16 W’s in Weekend League!

Most Feared Part 1 - Complete
House Rules - 25 W’s
The 50 Weekly - Complete
Legends Token - Complete

Safe to say I played a lot of #Madden21 this weekend.",0,0,0,0,0,0
100,"@grrraros Bro is
Bro is that league of legends
That is so cool",0,0,0,0,0,0
